dataset,n_players,n_excerpts_per_player,iteration,accuracy,precision,recall,f1,kappa
bilbao,2,15,12,0.5230769230769231,0.6491452991452993,0.5128205128205129,0.5027929335621644,0.48093766099948476
bilbao,2,15,13,0.23076923076923078,0.13388278388278388,0.22179487179487178,0.15852451641925328,0.16516825070639607
bilbao,2,15,14,0.4461538461538462,0.4382173382173382,0.43333333333333346,0.3977633477633478,0.39814814814814814
bilbao,3,1,0,0.13846153846153847,0.033382642998027616,0.13076923076923078,0.052096957547458106,0.06306306306306297
bilbao,3,1,1,0.12307692307692308,0.03298475717830556,0.12307692307692308,0.051300044984255506,0.04999999999999993
bilbao,3,1,2,0.07692307692307693,0.014067328020816392,0.07692307692307693,0.0235042735042735,0.0
bilbao,3,1,3,0.07692307692307693,0.013456992180396433,0.07692307692307693,0.022253666066375098,0.0
bilbao,3,1,4,0.07692307692307693,0.0219017094017094,0.08461538461538462,0.03237691191247069,0.00230237912509601
bilbao,3,1,5,0.1076923076923077,0.017504930966469427,0.10769230769230768,0.029901133349409213,0.03333333333333344
bilbao,3,1,6,0.07692307692307693,0.010121457489878543,0.06410256410256411,0.01748251748251748,-0.005673027333677139
bilbao,3,1,7,0.1076923076923077,0.02860932171276999,0.10256410256410256,0.03587865126326665,0.03159517081941954
bilbao,3,1,8,0.13846153846153847,0.02294197031039136,0.13846153846153847,0.039109246807723146,0.06666666666666665
bilbao,3,1,9,0.13846153846153847,0.029486375693272247,0.13846153846153844,0.047624434389140276,0.06666666666666676
bilbao,3,1,10,0.12307692307692308,0.029585798816568053,0.11538461538461539,0.04640543148607664,0.043624161073825496
bilbao,3,1,11,0.09230769230769231,0.0339031339031339,0.08974358974358974,0.03863537592351152,0.015151515151515027
bilbao,3,1,12,0.07692307692307693,0.018035636679704477,0.07435897435897436,0.022435897435897433,-0.0015408320493066618
bilbao,3,1,13,0.1076923076923077,0.016608391608391608,0.10769230769230768,0.028777765619870884,0.033333333333333326
bilbao,3,1,14,0.07692307692307693,0.00591715976331361,0.07692307692307693,0.010989010989010988,0.0
bilbao,3,2,0,0.18461538461538463,0.07257913027143796,0.2,0.09860139860139859,0.12385554425228884
bilbao,3,2,1,0.06153846153846154,0.0446985446985447,0.06153846153846154,0.03296703296703297,-0.010963793982661896
bilbao,3,2,2,0.15384615384615385,0.0677257525083612,0.14487179487179486,0.07751989389920425,0.07979407979407982
bilbao,3,2,3,0.24615384615384617,0.19378698224852073,0.2358974358974359,0.19021662098585176,0.17508417508417518
bilbao,3,2,4,0.15384615384615385,0.0673241288625904,0.15384615384615385,0.0805096700475391,0.08192090395480234
bilbao,3,2,5,0.15384615384615385,0.053771015309476845,0.15384615384615385,0.07831773929291973,0.0823921971252567
bilbao,3,2,6,0.15384615384615385,0.04671118355328882,0.15384615384615385,0.06923076923076923,0.08333333333333337
bilbao,3,2,7,0.1076923076923077,0.03346371142981312,0.0923076923076923,0.03343195266272189,0.018484769591252115
bilbao,3,2,8,0.1076923076923077,0.016117216117216115,0.11538461538461539,0.028280542986425343,0.040712468193384144
bilbao,3,2,9,0.16923076923076924,0.06847767616998386,0.15384615384615385,0.0817094017094017,0.08973029045643144
