dataset,player_trained_on,test_type,iteration,accuracy,precision,recall,f1,kappa
cnsm,Fanton,Different Player,8,0.9219474497681608,0.9141946754985814,0.9223247607608059,0.9177978402537543,0.8789233596928755
cnsm,Fanton,Same Player,9,1.0,1.0,1.0,1.0,1.0
cnsm,Fanton,Different Player,9,0.9350850077279753,0.9355920931297605,0.930410506753914,0.9328952367523972,0.8986883999075392
cnsm,Lucie,Same Player,0,1.0,1.0,1.0,1.0,1.0
cnsm,Lucie,Different Player,0,0.9253846153846154,0.9302191596204422,0.9164755561501493,0.9225294195825642,0.8834997380822819
cnsm,Lucie,Same Player,1,1.0,1.0,1.0,1.0,1.0
cnsm,Lucie,Different Player,1,0.9130769230769231,0.9205535326281881,0.8952284678192063,0.9053342538606985,0.8636738640803369
cnsm,Lucie,Same Player,2,1.0,1.0,1.0,1.0,1.0
cnsm,Lucie,Different Player,2,0.9176923076923077,0.9268495403089444,0.9014108128000493,0.9116331581197558,0.8709433199019132
cnsm,Lucie,Same Player,3,1.0,1.0,1.0,1.0,1.0
cnsm,Lucie,Different Player,3,0.92,0.924864384084255,0.9079285476031408,0.9152049722791998,0.87492333040686
cnsm,Lucie,Same Player,4,1.0,1.0,1.0,1.0,1.0
cnsm,Lucie,Different Player,4,0.9092307692307692,0.9183615887048132,0.8885649047100862,0.8998224369525217,0.857467530657489
cnsm,Lucie,Same Player,5,1.0,1.0,1.0,1.0,1.0
cnsm,Lucie,Different Player,5,0.92,0.9272384112172284,0.9056412229128123,0.9145609025446958,0.8747318826815902
cnsm,Lucie,Same Player,6,1.0,1.0,1.0,1.0,1.0
cnsm,Lucie,Different Player,6,0.9246153846153846,0.9309786933082723,0.9123909743434148,0.9202806853069513,0.882089114344868
cnsm,Lucie,Same Player,7,1.0,1.0,1.0,1.0,1.0
cnsm,Lucie,Different Player,7,0.9207692307692308,0.9285283580039262,0.9068622241338136,0.9158502878833753,0.8759339698164675
cnsm,Lucie,Same Player,8,1.0,1.0,1.0,1.0,1.0
